userId,1,2,3,4
4077,"{'19', '22', '15', '1', '5', '4'}","{'22', '19', '1'}","{'22', '19'}","{'22', '19', '1'}"
4078,"{'4', '3'}","{'3', '16'}","{'4', '3', '16'}","{'19', '3'}"
4079,,{'4'},{'4'},{'22'}
4080,"{'4', '1', '5'}","{'4', '6'}","{'4', '19', '1', '5'}","{'19', '4', '1'}"
4081,{'3'},{'3'},{'3'},{'3'}
4082,"{'12', '14'}","{'1', '14'}",,{'12'}
4083,{'19'},"{'19', '11'}","{'19', '16'}","{'11', '19', '1', '13'}"
4084,"{'19', '17', '22', '5', '12'}","{'19', '12', '17', '1'}","{'19', '17', '22', '5', '12'}","{'19', '22', '1', '14', '12', '4'}"
4085,"{'19', '1'}","{'22', '19', '1'}","{'22', '1'}","{'22', '19'}"
4086,"{'22', '4', '1', '14'}","{'17', '22', '1', '14', '13', '4'}","{'19', '21', '22', '1', '14', '12', '4'}","{'22', '19', '1', '21'}"
4087,"{'20', '15', '19'}",{'20'},"{'15', '3'}","{'15', '19', '3', '16'}"
4088,"{'19', '1', '5'}",{'19'},"{'4', '1'}","{'4', '1'}"
4089,"{'19', '22', '1', '14', '13', '4'}","{'22', '19', '1', '13'}","{'19', '21', '22', '1', '14', '13', '4'}","{'19', '1'}"
4090,"{'19', '1'}","{'19', '4'}","{'4', '19', '1'}",{'19'}
4091,"{'22', '19', '10'}",{'22'},"{'22', '19'}",{'19'}
4092,{'19'},{'19'},"{'4', '19', '1', '13'}","{'19', '16', '22', '15', '14', '4'}"
4093,"{'15', '19'}","{'22', '19', '5'}","{'4', '22', '19', '1'}","{'19', '22', '15', '1', '4'}"
4095,"{'20', '12'}","{'20', '3', '1'}","{'20', '19'}","{'20', '19', '16', '13'}"
4096,,"{'19', '1', '5'}",,
4097,"{'22', '1'}",{'22'},{'22'},
4098,"{'4', '5'}",{'4'},,"{'4', '5'}"
4099,"{'15', '1', '5'}","{'1', '5'}","{'1', '13'}",
4100,"{'17', '15', '1', '5', '14', '9', '4'}","{'1', '15', '4', '9'}","{'17', '15', '1', '5', '4'}","{'19', '17', '15', '5', '14', '4'}"
4101,{'4'},"{'4', '3'}","{'4', '3'}",{'3'}
4102,"{'19', '1', '5'}","{'1', '5'}","{'4', '5'}","{'19', '1', '5'}"
4104,"{'22', '1'}","{'22', '19', '1'}","{'22', '1'}","{'22', '19'}"
4106,"{'22', '1', '5'}",,"{'22', '19', '1'}","{'22', '19', '1', '13'}"
4107,"{'15', '19', '13'}","{'22', '15', '19', '1'}","{'22', '15'}","{'22', '19'}"
4108,"{'4', '15', '19', '6'}","{'15', '19', '6'}","{'22', '15', '19', '5'}","{'19', '15', '4', '6'}"
4109,{'1'},,{'1'},
4110,,,{'16'},{'16'}
4111,{'22'},{'22'},{'22'},{'22'}
4112,,{'3'},{'3'},
4113,"{'19', '22', '1', '12', '13'}","{'22', '12', '1', '19'}","{'4', '22', '19', '1'}","{'19', '22', '15', '1', '13', '4'}"
4114,"{'15', '19', '1', '5'}","{'19', '1', '5', '13'}","{'22', '19', '1', '13'}",{'19'}
4115,"{'22', '19', '1', '5'}","{'22', '19'}","{'22', '19'}","{'22', '15', '19'}"
4116,,{'1'},"{'19', '1'}",{'1'}
4117,"{'19', '1'}","{'22', '19', '1', '5'}","{'22', '19', '1'}","{'19', '1'}"
4119,"{'22', '5', '13'}",,{'15'},"{'22', '15', '5'}"
4120,"{'4', '15', '19', '1'}","{'19', '15', '4', '1'}","{'4', '19', '1'}","{'19', '15', '4', '1'}"
4121,{'19'},{'19'},{'19'},"{'22', '19'}"
4122,"{'19', '1'}",{'1'},"{'19', '1'}",
4124,,"{'19', '14'}",,"{'22', '4'}"
4126,"{'1', '13'}",,"{'19', '1'}","{'1', '13'}"
4127,"{'15', '19', '6'}","{'19', '4'}","{'19', '15', '20', '13', '4'}","{'19', '1', '13'}"
4128,"{'19', '1'}",,"{'19', '1'}",{'19'}
4129,{'1'},{'1'},,{'5'}
4130,"{'19', '1'}","{'19', '1'}",{'1'},{'1'}
4131,{'1'},"{'22', '19', '10'}","{'22', '19', '1'}","{'22', '19'}"
4132,"{'1', '13'}",,,{'4'}
4133,"{'20', '22', '16', '5'}","{'16', '22', '1', '5', '13', '4'}","{'19', '22', '1', '5', '20'}","{'19', '21', '22', '1', '5'}"
4134,,"{'22', '19', '16'}","{'22', '19', '16'}","{'19', '16', '22', '15', '1'}"
